Date,Open,High,Low,Close,Volume
2004-10-27,182.50900000000001,189.52,181.77,185.97,26686200
2004-10-28,186.63,194.39,185.6,193.3,29663900
2004-10-29,198.87,199.95,190.6,190.64,42282600
2004-11-01,193.5,197.67,191.27,196.03,24425300
2004-11-02,198.73,199.25,193.34,194.87,22669900
2004-11-03,198.19,201.6,190.75,191.67,27749600
2004-11-04,188.25,190.4,183.35,184.7,28790300
2004-11-05,182.0,182.3,168.55,169.35,39626500
2004-11-08,170.86,175.44,169.4,172.55,22361200
2004-11-09,174.1,175.2,165.27,168.7,22106200
2004-11-10,170.67,172.52,166.33,167.86,21266700
2004-11-11,169.32,183.75,167.57,183.02,29941000
2004-11-12,185.23,189.8,177.4,182.0,33458700
2004-11-15,180.45,188.32,178.75,184.87,23779100
2004-11-16,174.39,179.47,170.83,172.545,41792900
2004-11-17,169.02,177.5,169.0,172.5,36229500
2004-11-18,170.4,174.42,165.73,167.54,33225900
2004-11-19,169.06,169.98,166.52,169.4,17521000
2004-11-22,168.6,169.5,161.31,165.1,24711600
2004-11-23,167.915,170.83,166.5,167.52,24801700
2004-11-24,174.84,177.21,172.51,174.76,30531400
2004-11-26,175.8,180.03,175.32,179.39,12947200
2004-11-29,180.255,182.95,177.51,181.05,21311800
2004-11-30,180.7,183.0,180.25,181.98,15384600
2004-12-01,181.77,182.5,179.55,179.96,15712400
2004-12-02,179.9,181.51,178.55,179.4,12509200
2004-12-03,180.0,181.06,177.6,180.4,11726600
2004-12-06,179.13,180.7,176.02,176.29,12495400
2004-12-07,176.0,176.2,170.55,171.43,13728000
2004-12-08,170.57,173.68,168.73,169.98,15068500
2004-12-09,170.25,173.5,168.47,173.43,15292600
2004-12-10,173.43,174.88,171.29,171.65,8625700
2004-12-13,172.03,173.18,169.45,170.45,9627500
2004-12-14,171.0,178.82,169.6,178.69,22154600
2004-12-15,177.99,180.69,176.66,179.78,22919000
2004-12-16,177.22,180.49,175.95,176.47,17128400
2004-12-17,176.76,180.5,176.55,180.08,14757600
2004-12-20,182.0,188.46,181.87,185.02,19649300
2004-12-21,186.28,187.88,183.4,183.75,11021500
2004-12-22,183.9,186.85,183.01,186.3,7806100
2004-12-23,187.45,188.6,186.0,187.9,7221900
2004-12-27,189.43,193.3,189.1,191.91,12195900
2004-12-28,192.11,193.55,191.01,192.76,8283300
2004-12-29,191.97,193.52,191.78,192.9,5350800
2004-12-30,192.97,198.23,191.85,197.6,11796700
2004-12-31,199.23,199.88,192.56,192.79,15321600
2005-01-03,197.4,203.64,195.46,202.71,31656700
2005-01-04,201.33,202.93,193.48,194.5,27484200
2005-01-05,193.45,196.9,192.23,193.51,16456700
2005-01-06,195.25,195.9,187.72,188.55,20753400
2005-01-07,190.64,194.25,188.78,193.85,19306400
2005-01-10,194.5,198.1,191.83,195.06,15064100
2005-01-11,195.62,197.71,193.18,193.54,13903400
2005-01-12,194.33,195.93,190.5,195.38,16339200
2005-01-13,195.38,197.39,194.05,195.33,13685100
2005-01-14,196.0,200.01,194.13,199.97,19261300
2005-01-18,200.89,205.02,198.66,203.9,26318800
2005-01-19,204.64,205.3,196.71,197.3,22492800
2005-01-20,192.58,196.25,192.0,193.92,17985100
2005-01-21,194.44,195.36,188.12,188.28,18498200
2005-01-24,188.69,189.33,180.32,180.72,28017300
2005-01-25,182.2,182.24,176.29,177.12,21297000
2005-01-26,179.27,189.41,179.15,189.24,24591100
2005-01-27,188.76,188.86,185.2,188.08,13241500
2005-01-28,190.13,194.7,186.34,190.34,24391900
2005-01-31,193.69,196.36,191.72,195.62,19174200
2005-02-01,194.38,203.75,190.63,191.9,37640300
2005-02-02,215.55,216.8,203.66,205.96,65533000
2005-02-03,205.99,213.37,205.81,210.86,25950200
2005-02-04,206.47,207.75,202.6,204.36,29608900
2005-02-07,205.26,206.4,195.51,196.03,25894800
2005-02-08,196.96,200.02,194.53,198.64,22937000
2005-02-09,200.76,201.6,189.46,191.58,34308600
2005-02-10,191.97,192.21,185.25,187.98,37927400
2005-02-11,186.66,192.32,186.07,187.4,26205700
2005-02-14,186.08,193.08,181.0,192.99,77047200
2005-02-15,193.605,199.84,193.08,195.23,51514000
2005-02-16,194.7,199.33,194.3,198.41,33031500
2005-02-17,197.83,199.75,196.81,197.9,20807900
2005-02-18,198.51,198.84,196.66,197.95,16954800
2005-02-22,196.5,198.9,190.39,191.37,26940400
2005-02-23,193.3,194.48,188.66,193.95,31140800
2005-02-24,183.37,189.85,182.23,188.89,51576900
2005-02-25,189.15,189.92,185.51,185.87,19927000
2005-02-28,186.0,189.87,185.85,187.99,15621100
2005-03-01,189.29,189.75,185.39,186.06,18603700
2005-03-02,185.95,187.67,184.36,185.18,14556400
2005-03-03,186.13,187.75,184.31,187.005,15201900
2005-03-04,186.7,187.25,185.07,185.9,13534600
2005-03-07,187.78,189.6,187.03,188.81,17317400
2005-03-08,189.1,189.85,184.97,185.2,16076100
2005-03-09,184.21,184.65,180.16,181.35,22698000
2005-03-10,181.01,181.2,177.4,179.98,21899000
2005-03-11,180.44,180.95,177.15,177.8,16040500
2005-03-14,178.33,178.4,172.57,174.99,22270900
2005-03-15,175.25,180.0,174.21,178.61,20823300
2005-03-16,176.7,178.61,175.01,175.6,14198300
2005-03-17,177.13,179.64,175.8,179.29,16504600
2005-03-18,178.81,180.4,178.31,180.04,14165800
2005-03-21,179.27,182.17,177.25,180.88,14952400
2005-03-22,181.18,181.94,177.85,178.6,11252100
2005-03-23,177.97,180.24,177.97,178.98,9680300
2005-03-24,180.22799999999998,180.86,179.2,179.25,7402900
2005-03-28,181.68,184.8,180.95,181.42,17458500
2005-03-29,181.05,183.28,178.07,179.57,12933000
2005-03-30,180.64,181.45,179.6,180.45,12459700
2005-03-31,177.95,181.39,177.64,180.51,13523600
2005-04-01,181.76,182.95,179.99,180.04,12351600
2005-04-04,179.95,185.32,179.84,185.29,16136600
2005-04-05,187.73,190.26,187.57,188.57,17455900
2005-04-06,189.24,189.65,187.58,189.22,10494600
2005-04-07,188.78,194.62,188.64,193.76,19365000
2005-04-08,193.69,195.1,191.45,192.05,10222900
2005-04-11,193.09,194.8,192.32,193.23,10810100
2005-04-12,193.0,194.42,189.41,193.955,14624500
2005-04-13,193.47,194.32,189.73,192.93,13098400
2005-04-14,193.27,194.36,190.1,191.45,12293000
2005-04-15,190.1,190.34,184.66,185.0,23131600
2005-04-18,184.58,187.88,183.49,186.97,13087400
2005-04-19,189.33,192.0,188.03,191.4,16843100
2005-04-20,198.58,200.5,195.91,198.1,30872000
2005-04-21,200.42,205.0,199.32,204.75,35468200
2005-04-22,222.905,224.0,214.26,215.81,66343700
2005-04-25,217.82,224.74,217.52,223.53,39640300
2005-04-26,220.22,222.0,218.29,218.75,34509400
2005-04-27,217.99,220.85,216.74,219.78,20509000
2005-04-28,219.5,222.08,217.71,219.45,17348200
2005-04-29,221.91,222.25,217.82,220.0,18322000
2005-05-02,222.05,223.7,220.21,222.29,19515200
2005-05-03,221.54,228.15,221.32,226.19,35524800
2005-05-04,227.18,229.88,226.99900000000002,228.5,24142800
2005-05-05,228.62,228.62,225.88,226.98,15004100
2005-05-06,228.4,229.25,226.47,228.02,13514200
2005-05-09,228.0,228.5,225.43,226.02,11062500
2005-05-10,225.47,227.8,224.72,227.8,12678900
2005-05-11,228.9,231.98,227.93,231.29,22934600
2005-05-12,230.81,232.23,228.2,228.72,17878500
2005-05-13,229.18,231.09,227.32,229.24,14816100
2005-05-16,229.68,231.62,228.57,231.05,11351400
2005-05-17,230.56,233.45,230.2,233.13,15602100
2005-05-18,233.61,239.97,233.52,239.16,24599300
2005-05-19,240.48,241.17,238.27,239.18,19413500
2005-05-20,241.21,241.67,239.65,241.61,16310600
2005-05-23,243.16,258.1,242.71,255.45,42733800
2005-05-24,256.96,265.44,253.5,256.0,58028100
2005-05-25,252.73,260.98,250.63,260.81,36079600
2005-05-26,260.96,263.76,258.3,259.2,27066100
2005-05-27,260.48,266.05,259.25,266.0,24343800
2005-05-31,269.56,278.4,269.37,277.27,44429100
2005-06-01,283.2,292.89,282.02,288.0,70313000
2005-06-02,288.73,289.78,284.6,287.9,35912200
2005-06-03,286.79,289.3,277.41,280.26,37527000
2005-06-06,282.39,293.75,281.83,290.94,45006700
2005-06-07,297.1,299.59,290.3,293.12,48597300
2005-06-08,292.85,293.19,278.0,279.56,51350300
2005-06-09,284.72,288.5,280.56,286.31,32849300
2005-06-10,286.99,287.28,280.02,282.5,25367800
2005-06-13,279.82,284.19,276.52,282.75,25580700
2005-06-14,278.59,281.24,277.75,278.35,20163600
2005-06-15,275.0,277.3,267.43,274.8,41724400
2005-06-16,274.26,278.3,273.07,277.44,24899800
2005-06-17,279.0,280.3,275.9,280.3,20847900
2005-06-20,276.08,287.672,271.73,286.7,42007300
2005-06-21,288.18,290.3,284.97,287.84,30234300
2005-06-22,289.67,292.32,288.67,289.3,20927000
2005-06-23,288.0,294.81,286.5,289.71,28084600
2005-06-24,290.9,298.0,289.58,297.25,35506800
2005-06-27,298.9,304.47,293.86,304.1,35570100
2005-06-28,306.28,309.25,302.0,302.0,38034900
2005-06-29,302.5,304.38,292.15,292.72,36560800
2005-06-30,294.34,298.93,291.04,294.15,30158600
2005-07-01,295.04,296.24,289.22,291.25,18436700
2005-07-05,292.0,295.98,290.23,295.71,14973000
2005-07-06,297.3,297.6,291.38,291.525,15984500
2005-07-07,289.39,295.8,288.51,295.54,21322800
2005-07-08,296.25,297.5,294.05,296.23,14900200
2005-07-11,296.4,296.6,291.02,293.35,16763800
2005-07-12,293.39,294.4,290.93,291.784,11718000
2005-07-13,292.51,299.24,292.1,298.86,22852900
2005-07-14,305.34,306.75,300.07,300.89,21314000
2005-07-15,301.24,303.4,299.78,301.19,16859900
2005-07-18,300.0,301.9,297.75,299.54,12403100
2005-07-19,302.26,310.35,301.8,309.9,25217500
2005-07-20,305.57,312.6088,301.8,312.0,28592100
2005-07-21,314.05,317.8,311.21,313.94,39539200
2005-07-22,306.37,309.25,296.33,302.4,46726800
2005-07-25,302.39,303.29,294.96,295.85,19298200
2005-07-26,295.01,298.0,292.09,296.09,19614100
2005-07-27,297.74,298.23,292.4,296.93,14421300
2005-07-28,297.2,297.41,293.28,293.5,11839300
2005-07-29,292.14,292.84,286.99,287.76,16709800
2005-08-01,288.48,292.5,288.1,291.6099,11313400
2005-08-02,291.6,299.52,291.12,299.19,14565800
2005-08-03,298.0,299.72,295.6,297.3,11849300
2005-08-04,295.55,299.0,295.25,297.73,10462500
2005-08-05,297.5,298.51,291.31,292.35,11867500
2005-08-08,293.6,295.65,290.49,291.25,8954600
2005-08-09,291.96,292.68,288.51,291.57,11547000
2005-08-10,291.3,292.33,284.88,285.68,13744200
2005-08-11,285.89,286.58,280.62,284.05,15014700
2005-08-12,283.36,290.2,281.64,289.721,13158600
2005-08-15,289.98,292.77,283.77,284.0,16333000
2005-08-16,284.88,287.79,283.34,285.65,14204100
2005-08-17,285.51,286.57,284.0,285.1,7758800
2005-08-18,275.91,280.5,275.0,279.99,23721800
2005-08-19,280.99,281.45,279.62,280.0,11074700
2005-08-22,281.24,281.47,273.35,274.01,13612300
2005-08-23,276.16,279.74,274.12,279.58,11631700
2005-08-24,277.57,284.75,276.45,282.57,17169000
2005-08-25,282.55,284.0,279.97,282.59,8744400
2005-08-26,283.48,285.02,282.66,283.58,7503000
2005-08-29,282.24,289.12,282.24,288.45,11794100
2005-08-30,287.22,289.51,285.88,287.27,9574400
2005-08-31,288.23,288.5,284.36,286.0,10057900
2005-09-01,285.91,287.5,285.0,286.25,5478700
2005-09-02,286.51,289.99,286.44,288.45,6862100
2005-09-06,289.0,289.39,286.8,287.11,8416100
2005-09-07,285.89,295.5,285.28,294.87,14984000
2005-09-08,294.83,299.28,293.36,295.39,13213300
2005-09-09,297.28,299.1,296.56,299.09,8772200
2005-09-12,301.75,311.42,301.0,309.74,20752200
2005-09-13,308.74,315.53,306.17,311.68,20579200
2005-09-14,308.73,313.28,300.3,303.0,22529000
2005-09-15,299.8,306.75,297.91,302.62,30901400
2005-09-16,304.02,304.5,299.87,300.2,15144400
2005-09-19,301.0,306.0,300.71,303.79,11512200
2005-09-20,306.15,311.3,305.23,307.91,18683200
2005-09-21,308.41,313.76,305.96,311.9,20219100
2005-09-22,311.49,319.22,310.17,311.37,25986700
2005-09-23,313.0,317.21,312.59,315.36,16950600
2005-09-26,319.5,320.95,312.56,314.28,19769000
2005-09-27,314.95,318.41,313.38,313.94,13732400
2005-09-28,314.22,315.1,305.6,306.0,15978800
2005-09-29,306.68,310.72,306.08,309.62,11216300
2005-09-30,314.22,317.5,312.29,316.46,18284200
2005-10-03,313.63,320.11,312.79,318.68,18302200
2005-10-04,319.58,321.28,310.74,311.0,18270300
2005-10-05,312.69,314.9,308.0,310.71,16640100
2005-10-06,313.98,314.48,310.09,312.75,15971600
2005-10-07,314.79,316.67,310.54,312.99,13527000
2005-10-10,313.31,314.82,309.15,310.65,11133200
2005-10-11,311.16,312.65,304.86,306.1,17068100
2005-10-12,305.2,307.19,299.0,300.97,18593700
2005-10-13,302.0,302.0,290.685,297.44,21114200
2005-10-14,299.26,300.23,292.54,296.14,17021100
2005-10-17,297.5,305.2,294.56,305.0,15118200
2005-10-18,304.96,307.96,302.74,303.28,14141400
2005-10-19,304.0,309.87,303.96,308.7,14007300
2005-10-20,309.99,311.13,301.21,303.2,27795500
2005-10-21,345.8,346.43,333.0,339.9,45739000
2005-10-24,343.37,349.3,342.19,348.65,18844500
2005-10-25,345.78,347.4,342.86,346.91,13742800
2005-10-26,346.28,356.0,346.19,355.44,17797100
2005-10-27,356.6,357.09,351.68,353.06,10258500
2005-10-28,355.27,358.95,355.02,358.17,11795100
2005-10-31,360.24,374.75,359.51,372.14,28657100
2005-11-01,371.86,383.9,369.01,379.38,32679400
2005-11-02,381.7,385.0,377.17,379.68,21109600
2005-11-03,382.41,386.58,381.38,385.95,14881900
2005-11-04,389.72,391.79,385.45,390.43,17632100
2005-11-07,395.1,397.47,392.15,395.03,19163800
2005-11-08,394.25,395.59,388.58,389.9,15779200
2005-11-09,386.67,388.29,378.03,379.15,20912800
2005-11-10,378.36,391.35,377.43,391.1,18239100
2005-11-11,395.12,396.9,388.85,390.4,14113600
2005-11-14,392.12,398.22,391.53,396.97,15600100
2005-11-15,394.38,397.0,390.95,392.8,17232500
2005-11-16,396.2,398.85,394.11,398.15,17373000
2005-11-17,401.8,403.81,399.53,403.45,18405900
2005-11-18,403.62,404.5,399.85,400.21,14037100
2005-11-21,399.17,409.98,393.49,409.36,20649500
2005-11-22,408.65,417.31,406.23,416.47,19172800
2005-11-23,417.04,424.72,415.78,422.86,20149800
2005-11-25,425.78,428.75,425.3,428.62,9670500
2005-11-28,429.82,431.24,422.44,423.48,21994700
2005-11-29,424.14,426.4,402.14,403.54,42948600
2005-11-30,404.48,408.45,395.56,404.9125,31162000
2005-12-01,409.2,415.44,408.29,414.0901,19470300
2005-12-02,416.94,419.53,413.86,417.7,15071900
2005-12-05,417.0,417.5,404.28,405.85,20558200
2005-12-06,408.7,416.41,401.7,404.54,30220300
2005-12-07,406.16,406.7,399.01,404.22,23308400
2005-12-08,405.3,410.65,402.64,410.65,17802100
2005-12-09,415.0,415.78,408.56,409.2,15271500
2005-12-12,414.63,415.21,409.95,412.61199999999997,13886200
2005-12-13,413.0,418.0,411.64,417.49,16311200
2005-12-14,417.04,419.73,415.49,418.96,13247500
2005-12-15,419.11,423.14,416.5,422.53,12079500
2005-12-16,425.34,432.5,422.75,430.15,32628300
2005-12-19,432.2,446.21,420.11,424.6,43829700
2005-12-20,427.86,432.2,424.67,429.74,20149200
2005-12-21,433.55,436.86,420.71,426.33,22421300
2005-12-22,431.765,432.86,425.93,432.04,15078100
2005-12-23,432.15,432.5,428.78,430.93,9181000
2005-12-27,431.86,431.86,422.76,424.64,13392100
2005-12-28,424.12,427.78,421.26,426.69,14221500
2005-12-29,427.98,428.73,419.17,420.15,13877700
2005-12-30,417.27,418.21,413.74,414.86,15159000
2006-01-03,422.52,435.67,418.22,435.23,26216100
2006-01-04,443.9,448.96,439.75,445.24,30542200
2006-01-05,446.0,451.55,441.5,451.24,21594900
2006-01-06,456.87,470.5,453.24,465.66,35478200
2006-01-09,466.15,473.4,460.94,466.9001,25558200
2006-01-10,464.42,470.25,462.04,469.76,18176000
2006-01-11,471.27,475.11,469.18,471.63,17996700
2006-01-12,473.72,474.99,461.5,463.63,20230300
2006-01-13,464.31,466.89,461.61,466.25,15297800
2006-01-17,464.21,469.9,462.53,467.11,16524000
2006-01-18,447.3,457.36,443.25,444.9099,40930400
2006-01-19,451.17,453.49,433.0,436.445,29045500
2006-01-20,437.5,440.03,394.74,399.4601,82151100
2006-01-23,407.38,428.39,405.73,427.5,45437300
2006-01-24,436.03,444.95,434.48,443.03,30898200
2006-01-25,451.26,454.23,429.22,433.0,37442100
2006-01-26,439.54,439.99,423.56,434.265,25826300
2006-01-27,435.22,438.22,428.98,433.49,16887400
2006-01-30,429.39,433.28,425.0,426.82,17160600
2006-01-31,430.66,439.6,423.973,432.6601,44087800
2006-02-01,389.86,402.0,387.52,401.78,54190700
2006-02-02,403.93,406.5,395.98,396.04,23591700
2006-02-03,393.79,393.9,372.57,381.555,36527000
2006-02-06,385.25,389.9,379.56,385.1,17862900
2006-02-07,383.14,383.7,363.345,367.92,33227100
2006-02-08,368.24,370.69,354.67,369.08,41566500
2006-02-09,371.45,374.4,356.11,358.77,23800900
2006-02-10,362.0,364.5,353.14,362.61,30416500
2006-02-13,344.3,350.6,341.89,345.7,39396100
2006-02-14,345.3,351.69,342.4,343.32,29278600
2006-02-15,341.4,346.0,337.83,342.38,25868100
2006-02-16,345.86,367.0,344.49,366.46,42588300
2006-02-17,369.99,372.14,363.62,368.75,28611700
2006-02-21,366.32,373.54,365.11,366.59,17354600
2006-02-22,367.15,368.95,363.86,365.49,12939400
2006-02-23,365.41,381.24,365.39,378.07,25078000
2006-02-24,377.3,380.07,373.49,377.4,12955600
2006-02-27,381.2,391.7,380.28,390.375,20403900
2006-02-28,392.65,397.54,338.51,362.62,78796300
2006-03-01,369.0,369.45,361.3,364.8,24098200
2006-03-02,364.42,381.1,362.2,376.45,36623900
2006-03-03,384.3,387.24,375.76,378.18,23900000
2006-03-06,380.66,383.4,367.14,368.1,17861500
2006-03-07,364.42,368.45,358.15,364.45,20736800
2006-03-08,353.78,360.03,350.5411,353.88,23467700
2006-03-09,355.47,358.53,341.5,343.0,27792900
2006-03-10,343.5,344.5,331.55,337.5,38612500
2006-03-13,339.72,346.1,335.45,337.06,27257500
2006-03-14,336.59,352.37,332.62,351.16,36864400
2006-03-15,350.87,352.3,340.53,344.5,25512000
2006-03-16,348.7,348.75,337.9,338.77,20013300
2006-03-17,338.94,341.78,334.93,339.79,17086200
2006-03-20,342.01,350.09,341.54,348.19,20794300
2006-03-21,349.97,351.66,339.08,339.92,19642500
2006-03-22,339.91,344.1,337.5,340.22,15176800
2006-03-23,342.27,345.75,340.2,341.89,14854500
2006-03-24,368.52,370.09,362.51,365.8,30330800
2006-03-27,367.25,371.71,365.0,369.69,14033300
2006-03-28,372.0,377.86,371.17,377.2,17873700
2006-03-29,380.0,399.0,379.51,394.98,38016900
2006-03-30,389.22,393.5,383.61,388.44,29393900
2006-03-31,388.75,391.87,384.03,390.0,72969700
2006-04-03,389.75,392.47,387.93,389.7,16229100
2006-04-04,390.0,404.9,388.14,404.34,31399900
2006-04-05,407.7,414.57,402.82,407.99,26794100
2006-04-06,407.0,413.89,405.43,411.18,17179800
2006-04-07,412.56,412.85,404.02,406.16,14037700
2006-04-10,407.61,417.17,405.25,416.38,18621500
2006-04-11,416.38,419.1,406.22,409.66,22192100
2006-04-12,409.15,411.33,405.19,408.95,12021900
2006-04-13,408.81,409.76,400.5,402.16,13092600
2006-04-17,403.78,412.5,400.84,406.82,16502400
2006-04-18,407.54,409.83,401.5,404.24,16258900
2006-04-19,412.37,413.64,406.73,410.5,13549800
2006-04-20,411.9,436.99,408.2,415.0,24518400
2006-04-21,450.0,450.72,436.17,437.1,45057400
2006-04-24,439.34,444.7,436.52,440.5,17655100
2006-04-25,439.43,441.04,426.0,427.16,19118800
2006-04-26,428.7,430.04,423.53,425.97,14541000
2006-04-27,422.77,426.91,419.39,420.03,16659100
2006-04-28,417.73,425.73,416.3,417.94,14827700
2006-05-01,417.85,419.44,398.55,398.9,20701600
2006-05-02,401.0,402.49,388.4,394.8,26182300
2006-05-03,396.55,401.5,390.88,394.17,16128200
2006-05-04,395.03,398.87,392.21,394.75,9294600
2006-05-05,397.6,400.68,391.78,394.3,12117800
2006-05-08,395.11,397.12,390.05,394.78,10226900
2006-05-09,395.7,409.0,393.75,408.8,18262900
2006-05-10,408.31,411.71,401.86,402.98,12362000
2006-05-11,403.42,404.71,384.98,387.0,17767800
2006-05-12,383.5,384.87,373.55,374.13,20155000
2006-05-15,375.93,380.15,368.25,376.2,17163000
2006-05-16,375.99,376.86,369.89,371.3,12969200
2006-05-17,370.61,379.84,370.22,374.5,21266300
2006-05-18,378.78,381.81,370.71,370.99,11658300
2006-05-19,373.28,374.5,360.57,370.02,22773600
2006-05-22,367.85,373.03,365.25,370.95,17191500
2006-05-23,374.21,383.88,373.56,375.58,17948000
2006-05-24,377.35,383.44,371.61,381.25,19088400
2006-05-25,379.08,383.0,372.31,382.99,16372800
2006-05-26,384.55,385.88,380.03,381.35,7326600
2006-05-30,378.28,381.0,371.45,371.94,8623300
2006-05-31,373.8022,378.25,366.78,371.82,15946600
2006-06-01,373.54,382.99,371.6,382.62,12543400
2006-06-02,386.84,387.08,377.45,379.44,12760000
2006-06-05,376.18,381.45,374.15,374.44,11105800
2006-06-06,376.585,390.0,376.3,389.99,20499000
2006-06-07,393.24,394.86,386.5,386.51,17804700
2006-06-08,387.75,394.27,378.59,393.3,20698200
2006-06-09,392.19,395.43,387.25,388.2904,12302600
2006-06-12,386.85,390.49,381.0,381.54,10028100
2006-06-13,380.9,387.0,378.12,386.525,15302800
2006-06-14,389.83,391.1,378.52,384.39,15528400
2006-06-15,386.62,392.25,383.0,391.0,13557800
2006-06-16,389.1,390.93,388.0,390.7,10598500
2006-06-19,390.85,394.8,386.98,388.14,15250900
2006-06-20,388.03,391.87,386.51,387.17,8071700
2006-06-21,391.06,404.0,389.75,402.13,17471300
2006-06-22,401.58,406.0,388.0,399.95,11811900
2006-06-23,402.76,409.75,400.74,404.86,10618900
2006-06-26,406.75,408.3,403.25,404.22,7095200
2006-06-27,405.71,408.0,401.01,402.32,8205900
2006-06-28,404.01,406.48,401.13,406.11,7413500
2006-06-29,407.99,418.2,405.82,417.81,13303000
2006-06-30,415.6,419.33,412.33,419.33,12503400
2006-07-03,420.04,423.77,419.45,423.2,4309000
2006-07-05,421.52,422.8,415.64,421.46,9961200
2006-07-06,423.375,425.38,421.98,423.19,7366800
2006-07-07,426.05,427.89,415.88,420.45,12071700
2006-07-10,423.44,425.23,416.38,418.2,8863900
2006-07-11,418.505,425.05,413.03,424.56,11930600
2006-07-12,422.09,422.74,416.73,417.25,9803500
2006-07-13,414.0,418.34,406.83,408.83,13835100
2006-07-14,410.33,411.49,398.61,403.5,15089000
2006-07-17,404.625,411.0,403.72,407.89,11612100
2006-07-18,409.75,410.57,397.74,403.05,17056500
2006-07-19,395.01,401.14,394.66,399.0,17019900
2006-07-20,404.28,404.44,385.66,387.12,25052300
2006-07-21,386.14,391.75,377.69,390.108,23485600
2006-07-24,392.82,393.89,381.21,390.9,16156000
2006-07-25,385.02,391.31,383.8,389.36,11510600
2006-07-26,388.2,391.91,383.0,385.5,11052700
2006-07-27,387.37,387.49,377.95,382.4,11270900
2006-07-28,382.0,389.56,381.73,388.12,8159000
2006-07-31,388.0,389.17,383.31,386.6,9181400
2006-08-01,385.11,385.77,375.51,375.51,10915400
2006-08-02,375.6,377.17,365.2,367.23,14181400
2006-08-03,364.98,377.91,363.36,375.39,12641300
2006-08-04,379.56,380.68,371.75,373.85,10180200
2006-08-07,371.5,379.73,371.15,377.95,7885900
2006-08-08,382.82,384.5,379.09,381.0,11474900
2006-08-09,382.8,384.68,376.36,376.94,8613300
2006-08-10,373.88,377.67,372.46,374.2,8515200
2006-08-11,373.88,375.28,368.0,368.5,7525400
2006-08-14,371.5,375.13,368.67,369.43,9926600
2006-08-15,374.11,381.6699,372.6,380.97,13383000
2006-08-16,383.48,388.45,382.12,387.72,11694600
2006-08-17,386.39,390.0,383.92,385.8,10150200
2006-08-18,386.31,387.09,380.75,383.36,9894400
2006-08-21,378.1,379.0,375.22,377.3,8038500
2006-08-22,377.7341,379.26,374.84,378.29,8319800
2006-08-23,377.64,378.27,372.66,373.43,7277300
2006-08-24,374.44,376.4,372.26,373.73,6958000
2006-08-25,373.08,375.32,372.5,373.26,4928400
2006-08-28,375.61,380.95,375.0,380.95,8319600
2006-08-29,380.78,382.32,377.2,378.95,8911000
2006-08-30,379.21,384.65,378.51,380.75,8080700
2006-08-31,381.4941,382.15,378.2,378.53,5913800
2006-09-01,380.995,381.28,377.19,378.6,5340400
2006-09-05,379.87,385.4,377.44,384.36,8140400
